"","d_CD-CBM","Rg_CD","Rg_CBM","Rg_Global"
"419",37.1059,21.517,12.4796,25.0938
"420",37.0572,21.551,12.506,25.1393
"421",37.7993,21.4784,12.4404,25.1777
"422",37.4126,21.6379,12.5202,25.2451
"423",37.3325,21.5442,12.4734,25.1292
"424",37.8709,21.5843,12.4159,25.2789
"425",37.4995,21.6138,12.4507,25.2127
"426",36.9007,21.5848,12.4688,25.0662
"427",37.3178,21.5676,12.5151,25.1297
"428",37.058,21.5983,12.4465,25.1052
"429",37.0088,21.5937,12.5011,25.0777
"430",36.7447,21.5818,12.4657,25.0263
"431",36.6658,21.6126,12.4761,25.0215
"432",36.781,21.6148,12.4857,25.0726
"433",37.0682,21.5714,12.5147,25.0905
"434",37.1895,21.6472,12.4804,25.1756
"435",36.8338,21.6212,12.5699,25.0808
"436",37.0742,21.6286,12.5501,25.0934
"437",37.4288,21.6207,12.5648,25.143
"438",37.1183,21.5369,12.4282,25.009
"439",37.7167,21.4678,12.4837,25.1058
"440",37.3596,21.5533,12.4636,25.0956
"441",37.4964,21.5277,12.4802,25.0869
"442",37.2531,21.4609,12.4547,24.999
"443",37.5914,21.4795,12.5076,25.098
"444",37.2035,21.5405,12.5064,25.0618
"445",36.7671,21.475,12.5131,24.9311
"446",36.8776,21.5038,12.4465,24.9815
"447",37.1734,21.5151,12.4451,25.0346
"448",37.1402,21.6137,12.5398,25.0977
"449",37.1681,21.5188,12.5751,25.0327
"450",37.2064,21.5453,12.5316,25.072
"451",37.5659,21.5881,12.6588,25.1701
"452",37.6236,21.5114,12.5964,25.1262
"453",37.5185,21.5178,12.477,25.1365
"454",37.4757,21.5925,12.4996,25.1437
"455",37.1667,21.5086,12.4863,25.018
"456",37.4678,21.5778,12.5066,25.1326
"457",37.3917,21.5861,12.4887,25.1167
"458",37.2298,21.6092,12.5288,25.1166
"459",37.4714,21.5334,12.4276,25.0831
"460",36.8586,21.5613,12.4688,25.0077
"461",36.8395,21.582,12.5307,25.0256
"462",36.3627,21.5212,12.4913,24.8922
"463",36.4043,21.5873,12.5659,24.9614
"464",36.7054,21.5582,12.5786,24.9854
"465",36.4744,21.508,12.4289,24.8756
"466",36.7021,21.5336,12.4855,24.981
"467",36.6728,21.4874,12.6132,24.9242
"468",36.6612,21.5155,12.4899,24.9367
"469",36.3617,21.5047,12.5299,24.8454
"470",36.8364,21.4819,12.4985,24.919
"471",37.0467,21.5177,12.5069,24.9751
"472",36.9148,21.4818,12.4759,24.9455
"473",37.4288,21.5588,12.4661,25.1101
"474",36.9562,21.6007,12.4634,25.0144
"475",37.1063,21.5954,12.5427,25.0466
"476",37.6907,21.6963,12.5901,25.2721
"477",37.4486,21.589,12.5393,25.1387
"478",37.2009,21.5904,12.5379,25.0804
"479",37.8159,21.5397,12.523,25.1636
"480",37.8039,21.4823,12.4776,25.1206
"481",37.4726,21.5649,12.502,25.1266
"482",37.2501,21.5562,12.5164,25.0606
"483",37.0394,21.5881,12.5116,25.0678
"484",36.7685,21.5322,12.5262,24.9568
"485",36.8963,21.5904,12.4754,25.0257
"486",37.0817,21.5755,12.4513,25.062
"487",37.2951,21.5469,12.507,25.0732
"488",37.3554,21.5506,12.4517,25.0879
"489",37.2633,21.5013,12.5696,25.0525
"490",37.6426,21.6667,12.5535,25.2193
"491",37.858,21.547,12.5035,25.155
"492",37.0577,21.5626,12.5225,25.0262
"493",37.2856,21.5327,12.5017,25.0358
"494",37.3729,21.4839,12.4868,25.0322
"495",37.4602,21.5695,12.5384,25.1111
"496",37.1702,21.6207,12.5106,25.1164
"497",36.858,21.5527,12.4898,24.9927
"498",37.3033,21.5702,12.5619,25.1051
"499",37.7408,21.4151,12.5069,25.1016
"500",37.8285,21.5474,12.5373,25.2167
"501",37.3606,21.4801,12.5006,25.051
"502",37.2857,21.5469,12.471,25.0941
"503",37.4381,21.4952,12.3944,25.0809
"504",37.5501,21.5261,12.4557,25.1039
"505",37.335,21.5693,12.5302,25.1039
