"","DSI"
"996",16.8978
"997",16.4476
"998",16.4693
"999",16.0421
"1000",16.0113
"1001",15.6875
"1002",15.3179
"1003",15.3835
"1004",14.7537
"1005",15.2523
"1006",14.9006
"1007",15.0722
"1008",15.0625
"1009",15.6882
"1010",14.9854
"1011",14.9
"1012",14.7209
"1013",14.481
"1014",14.3936
"1015",14.3362
"1016",14.6915
"1017",14.8378
"1018",14.1357
"1019",13.4848
"1020",13.1497
"1021",13.6103
"1022",13.9076
"1023",14.2988
"1024",14.2488
"1025",14.2275
"1026",13.9866
"1027",13.2237
"1028",13.6654
"1029",13.2245
"1030",12.866
"1031",13.1139
"1032",13.3843
"1033",12.8803
"1034",13.1352
"1035",12.9102
"1036",13.3579
"1037",13.8332
"1038",13.1804
"1039",14.4769
"1040",14.206
"1041",14.933
"1042",14.9263
"1043",14.3511
"1044",14.1368
"1045",14.8329
"1046",15.1872
"1047",15.6016
"1048",15.6619
"1049",15.7628
"1050",15.2071
"1051",15.8093
"1052",15.2783
"1053",15.5606
"1054",16.3227
"1055",16.7371
"1056",16.7093
"1057",16.4541
"1058",15.8147
"1059",16.7575
"1060",16.9387
"1061",16.1609
"1062",16.3911
"1063",16.5149
"1064",15.3235
"1065",15.5623
"1066",15.6659
"1067",15.3941
"1068",15.1522
"1069",14.583
"1070",15.198
"1071",15.3449
"1072",15.3003
"1073",14.9652
"1074",15.0387
"1075",15.7097
"1076",15.908
"1077",15.6912
"1078",15.4119
"1079",15.6819
"1080",14.9698
"1081",15.1696
"1082",14.7149
"1083",14.6133
"1084",14.6482
"1085",14.7484
"1086",13.8723
"1087",13.9705
"1088",13.9756
"1089",14.6213
"1090",14.4272
"1091",14.8901
"1092",15.2615
"1093",15.3025
"1094",15.4614
"1095",15.6802
"1096",15.7338
"1097",15.9044
"1098",15.5763
"1099",15.7969
"1100",15.263
"1101",15.4498
"1102",15.7326
"1103",15.3563
"1104",15.807
"1105",15.4085
"1106",15.0356
"1107",14.716
"1108",14.3598
"1109",14.8226
"1110",14.8099
"1111",14.9362
"1112",15.3227
"1113",15.8976
"1114",14.867
"1115",15.2331
"1116",15.2302
"1117",15.3735
"1118",15.2423
"1119",14.4768
"1120",14.7266
"1121",15.3604
"1122",15.1013
"1123",15.6406
"1124",15.3073
"1125",15.4732
"1126",15.8455
"1127",15.4106
"1128",15.7365
"1129",15.0722
"1130",15.4192
"1131",15.5907
"1132",15.9424
"1133",15.9838
"1134",15.7538
"1135",15.5738
"1136",15.6879
"1137",15.8151
"1138",16.0428
"1139",16.0671
"1140",17.1384
"1141",16.3348
"1142",15.9989
"1143",15.5215
"1144",16.6566
"1145",16.5734
"1146",16.9083
"1147",17.3717
"1148",16.5876
"1149",16.0825
"1150",16.1161
"1151",15.9333
"1152",16.099
"1153",16.0777
"1154",16.2924
"1155",15.6558
"1156",15.1311
"1157",14.8006
"1158",15.6135
"1159",15.6494
"1160",15.4716
"1161",15.6838
"1162",16.1155
"1163",15.735
"1164",15.3862
"1165",15.3314
"1166",15.5409
"1167",15.9577
"1168",15.6441
"1169",15.6745
"1170",16.0344
"1171",16.1429
"1172",16.186
"1173",16.1242
"1174",16.2668
"1175",15.8092
"1176",15.9139
"1177",15.416
"1178",15.3341
"1179",14.7931
"1180",15.2904
"1181",15.703
"1182",15.7739
"1183",15.5764
"1184",16.0855
"1185",15.6186
"1186",15.5808
"1187",15.4643
"1188",15.4999
"1189",14.3695
"1190",15.1332
"1191",15.5372
"1192",15.2014
"1193",15.2232
"1194",15.5583
"1195",15.0957
"1196",15.4204
"1197",15.9818
"1198",15.599
"1199",15.3873
"1200",14.8995
"1201",15.3687
"1202",15.1209
"1203",15.0475
"1204",15.0482
"1205",14.8234
"1206",14.8816
"1207",14.6438
"1208",14.2874
"1209",14.9547
"1210",15.2579
"1211",15.156
"1212",15.5798
"1213",15.9121
"1214",15.7399
"1215",15.6276
"1216",16.1343
"1217",16.0272
"1218",15.5486
"1219",15.3375
"1220",14.9403
"1221",14.5339
"1222",14.4932
"1223",14.5005
"1224",13.758
"1225",13.7152
"1226",14.7312
"1227",14.9848
"1228",14.6642
"1229",14.1589
"1230",14.1012
"1231",13.8568
"1232",14.0144
"1233",14.2543
"1234",13.9197
"1235",13.4568
"1236",13.5829
"1237",14.1134
"1238",14.004
"1239",14.8133
"1240",14.3155
"1241",14.3876
"1242",14.5486
"1243",14.9306
"1244",15.1376
"1245",15.309
"1246",15.3727
"1247",15.7063
"1248",16.1462
"1249",15.4502
"1250",15.5497
"1251",15.5673
"1252",15.8675
"1253",15.4462
"1254",15.5841
"1255",15.4255
"1256",15.571
"1257",16.8902
"1258",16.1256
"1259",16.468
"1260",16.7685
"1261",16.0598
"1262",16.176
"1263",16.1233
"1264",16.071
"1265",15.9334
"1266",15.216
"1267",15.6816
"1268",15.9203
"1269",16.0376
"1270",16.2588
"1271",16.3238
"1272",15.7439
"1273",15.8827
"1274",16.2747
"1275",16.0308
"1276",15.9513
"1277",15.4317
"1278",15.845
