#Frame       d_CD-CBM        Rg_CD       Rg_CBM    Rg_Global
     585      33.4121      21.5996      12.5507      24.3113
     586      33.2383      21.5622      12.5450      24.2355
     587      33.0828      21.6421      12.6149      24.2769
     588      33.3017      21.6395      12.6911      24.3199
     589      33.5637      21.6317      12.6006      24.3580
     590      33.3710      21.6451      12.5833      24.3162
     591      33.3925      21.5893      12.6365      24.2847
     592      33.4191      21.6414      12.6196      24.3360
     593      33.1794      21.6326      12.5672      24.2788
     594      33.0407      21.7434      12.5775      24.3246
     595      33.3368      21.7361      12.5653      24.3973
     596      33.2724      21.6296      12.6373      24.2919
     597      33.3516      21.5469      12.6117      24.2527
     598      33.3311      21.7611      12.6526      24.4100
     599      33.6213      21.6479      12.6395      24.3742
     600      33.5746      21.6661      12.6018      24.3844
     601      33.5166      21.7095      12.5925      24.4101
     602      33.3593      21.6252      12.5893      24.3101
